arquivo,classe,especie,licenca,atribuicao,observacao_url,foto_id,data_observacao,local
inat_732747969.jpg,capivara,Hydrochoerus hydrochaeris,CC-BY-NC,"(c) Luciano Stasiak, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/399388073,732747969,2026-09-09,"Barragem de Santarém - Santa Rita Durão, Mariana - MG, 35420-000, Brasil"
inat_731125082.jpg,capivara,Hydrochoerus hydrochaeris,CC-BY-NC,"(c) Eduarda _Duda, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/398553009,731125082,2026-07-04,"Avenida Principal - Taim, Rio Grande - RS, Brasil"
inat_731088050.jpg,capivara,Hydrochoerus hydrochaeris,CC-BY-NC,"(c) Izabella Cardoso, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/398534016,731088050,2026-09-05,"Alameda Sucupira, Atibaia, SP, BR"
inat_731040913.jpg,capivara,Hydrochoerus hydrochaeris,CC-BY-NC,"(c) Marcos Antônio De lima, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/398510137,731040913,2026-09-08,"Santa Regina, Camboriú - SC, 88340-000, Brasil"
inat_730655141.jpg,capivara,Hydrochoerus hydrochaeris,CC-BY-NC,"(c) Juleseth, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/398309259,730655141,2026-09-07,"St. de Habitações Individuais Sul QI 12 - Lago Sul, Brasília - DF, Brazil"
inat_729957147.jpg,capivara,Hydrochoerus hydrochaeris,CC-BY-NC,"(c) Franco Correa Irrazabal, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/397954500,729957147,2026-09-06,"Puerto Madero, Cdad. Autónoma de Buenos Aires, Argentina"
inat_729150247.jpg,capivara,Hydrochoerus hydrochaeris,CC-BY-NC,"(c) Tomás Molina Ehrman, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/397543415,729150247,2026-09-04,"Comuna 13, Cdad. Autónoma de Buenos Aires, Argentina"
inat_729115988.jpg,capivara,Hydrochoerus hydrochaeris,CC-BY-NC,"(c) Tomás Molina Ehrman, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/397525989,729115988,2026-04-22,"Belgrano, Cdad. Autónoma de Buenos Aires, Argentina"
inat_728908805.jpg,capivara,Hydrochoerus hydrochaeris,CC-BY-NC,"(c) facundotedesco, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/397251343,728908805,2026-09-04,"Reserva Ecológica Costanera Sur, Buenos Aires, CABA, AR"
inat_728545611.jpg,capivara,Hydrochoerus hydrochaeris,CC-BY-NC,"(c) irislopes, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/397233182,728545611,2026-09-01,"Avenida Prefeito Frederico de Alvim Padilha, Santo Antônio De Pádua, RJ, BR"
inat_727875891.jpg,capivara,Hydrochoerus hydrochaeris,CC-BY-NC,"(c) Hevy, some rights reserved (CC BY-NC)",https://www.inaturalist.org/observations/396888121,727875891,2026-03-21,"Parque Centenário da Imigração Japonesa, Mogi das Cruzes, SP, BR"
